#   frequency            amplitude spectral density
   2.7425754e-02   3.4554593e-04
   2.7501726e-02   3.4256579e-04
   2.7577697e-02   3.3969440e-04
   2.7653669e-02   3.3692610e-04
   2.7729641e-02   3.3425562e-04
   2.7805612e-02   3.3167806e-04
   2.7881584e-02   3.2918880e-04
   2.7957555e-02   3.2678355e-04
   2.8033527e-02   3.2445826e-04
   2.8109499e-02   3.2220917e-04
   2.8185470e-02   3.2003271e-04
   2.8261442e-02   3.1792555e-04
   2.8337414e-02   3.1588455e-04
   2.8413385e-02   3.1390675e-04
   2.8489357e-02   3.1198938e-04
   2.8565328e-02   3.1012981e-04
   2.8641300e-02   3.0832555e-04
   2.8717272e-02   3.0657428e-04
   2.8793243e-02   3.0487378e-04
   2.8869215e-02   3.0322195e-04
   2.8945186e-02   3.0161683e-04
   2.9021158e-02   3.0005652e-04
   2.9097130e-02   2.9853926e-04
   2.9173101e-02   2.9706335e-04
   2.9249073e-02   2.9562720e-04
   2.9325045e-02   2.9422929e-04
   2.9401016e-02   2.9286817e-04
   2.9476988e-02   2.9154246e-04
   2.9552959e-02   2.9025086e-04
   2.9628931e-02   2.8899212e-04
   2.9704903e-02   2.8776506e-04
   2.9780874e-02   2.8656855e-04
   2.9856846e-02   2.8540151e-04
   2.9932818e-02   2.8426290e-04
   3.0008789e-02   2.8315176e-04
   3.0084761e-02   2.8206713e-04
   3.0160732e-02   2.8100813e-04
   3.0236704e-02   2.7997389e-04
   3.0312676e-02   2.7896360e-04
   3.0388647e-02   2.7797646e-04
   3.0464619e-02   2.7701174e-04
   3.0540590e-02   2.7606871e-04
   3.0616562e-02   2.7514668e-04
   3.0692534e-02   2.7424499e-04
   3.0768505e-02   2.7336301e-04
   3.0844477e-02   2.7250013e-04
   3.0920449e-02   2.7165576e-04
   3.0996420e-02   2.7082934e-04
   3.1072392e-02   2.7002034e-04
   3.1148363e-02   2.6922823e-04
   3.1224335e-02   2.6845253e-04
   3.1300307e-02   2.6769275e-04
   3.1376278e-02   2.6694843e-04
   3.1452250e-02   2.6621912e-04
   3.1528221e-02   2.6550441e-04
   3.1604193e-02   2.6480388e-04
   3.1680165e-02   2.6411714e-04
   3.1756136e-02   2.6344380e-04
   3.1832108e-02   2.6278350e-04
   3.1908080e-02   2.6213588e-04
   3.1984051e-02   2.6150060e-04
   3.2060023e-02   2.6087733e-04
   3.2135994e-02   2.6026576e-04
   3.2211966e-02   2.5966557e-04
   3.2287938e-02   2.5907648e-04
   3.2363909e-02   2.5849818e-04
   3.2439881e-02   2.5793041e-04
   3.2515853e-02   2.5737290e-04
   3.2591824e-02   2.5682538e-04
   3.2667796e-02   2.5628762e-04
   3.2743767e-02   2.5575936e-04
   3.2819739e-02   2.5524038e-04
   3.2895711e-02   2.5473044e-04
   3.2971682e-02   2.5422932e-04
   3.3047654e-02   2.5373683e-04
   3.3123625e-02   2.5325274e-04
   3.3199597e-02   2.5277685e-04
   3.3275569e-02   2.5230899e-04
   3.3351540e-02   2.5184895e-04
   3.3427512e-02   2.5139656e-04
   3.3503484e-02   2.5095164e-04
   3.3579455e-02   2.5051402e-04
   3.3655427e-02   2.5008354e-04
   3.3731398e-02   2.4966003e-04
   3.3807370e-02   2.4924334e-04
   3.3883342e-02   2.4883331e-04
   3.3959313e-02   2.4842981e-04
   3.4035285e-02   2.4803268e-04
   3.4111257e-02   2.4764180e-04
   3.4187228e-02   2.4725702e-04
   3.4263200e-02   2.4687821e-04
   3.4339171e-02   2.4650524e-04
   3.4415143e-02   2.4613801e-04
   3.4491115e-02   2.4577637e-04
   3.4567086e-02   2.4542022e-04
   3.4643058e-02   2.4506944e-04
   3.4719029e-02   2.4472393e-04
   3.4795001e-02   2.4438357e-04
   3.4870973e-02   2.4404826e-04
   3.4946944e-02   2.4371790e-04
   3.5022916e-02   2.4339239e-04
   3.5098888e-02   2.4307163e-04
   3.5174859e-02   2.4275553e-04
   3.5250831e-02   2.4244400e-04
   3.5326802e-02   2.4213695e-04
   3.5402774e-02   2.4183429e-04
   3.5478746e-02   2.4153594e-04
   3.5554717e-02   2.4124181e-04
   3.5630689e-02   2.4095183e-04
   3.5706660e-02   2.4066591e-04
   3.5782632e-02   2.4038398e-04
   3.5858604e-02   2.4010598e-04
   3.5934575e-02   2.3983181e-04
   3.6010547e-02   2.3956142e-04
   3.6086519e-02   2.3929473e-04
   3.6162490e-02   2.3903168e-04
   3.6238462e-02   2.3877220e-04
   3.6314433e-02   2.3851622e-04
   3.6390405e-02   2.3826369e-04
   3.6466377e-02   2.3801455e-04
   3.6542348e-02   2.3776873e-04
   3.6618320e-02   2.3752617e-04
   3.6694292e-02   2.3728683e-04
   3.6770263e-02   2.3705064e-04
   3.6846235e-02   2.3681754e-04
   3.6922206e-02   2.3658750e-04
   3.6998178e-02   2.3636045e-04
   3.7074150e-02   2.3613635e-04
   3.7150121e-02   2.3591514e-04
   3.7226093e-02   2.3569678e-04
   3.7302064e-02   2.3548122e-04
   3.7378036e-02   2.3526841e-04
   3.7454008e-02   2.3505832e-04
   3.7529979e-02   2.3485089e-04
   3.7605951e-02   2.3464609e-04
   3.7681923e-02   2.3444387e-04
   3.7757894e-02   2.3424418e-04
   3.7833866e-02   2.3404700e-04
   3.7909837e-02   2.3385228e-04
   3.7985809e-02   2.3365999e-04
   3.8061781e-02   2.3347008e-04
   3.8137752e-02   2.3328252e-04
   3.8213724e-02   2.3309727e-04
   3.8289696e-02   2.3291430e-04
   3.8365667e-02   2.3273358e-04
   3.8441639e-02   2.3255507e-04
   3.8517610e-02   2.3237874e-04
   3.8593582e-02   2.3220455e-04
   3.8669554e-02   2.3203248e-04
   3.8745525e-02   2.3186250e-04
   3.8821497e-02   2.3169457e-04
   3.8897468e-02   2.3152867e-04
   3.8973440e-02   2.3136476e-04
   3.9049412e-02   2.3120283e-04
   3.9125383e-02   2.3104284e-04
   3.9201355e-02   2.3088477e-04
   3.9277327e-02   2.3072859e-04
   3.9353298e-02   2.3057427e-04
   3.9429270e-02   2.3042180e-04
   3.9505241e-02   2.3027114e-04
   3.9581213e-02   2.3012227e-04
   3.9657185e-02   2.2997518e-04
   3.9733156e-02   2.2982983e-04
   3.9809128e-02   2.2968621e-04
   3.9885099e-02   2.2954430e-04
   3.9961071e-02   2.2940407e-04
   4.0037043e-02   2.2926550e-04
   4.0113014e-02   2.2912858e-04
   4.0188986e-02   2.2899329e-04
   4.0264958e-02   2.2885960e-04
   4.0340929e-02   2.2872750e-04
   4.0416901e-02   2.2859698e-04
   4.0492872e-02   2.2846800e-04
   4.0568844e-02   2.2834057e-04
   4.0644816e-02   2.2821466e-04
   4.0720787e-02   2.2809026e-04
   4.0796759e-02   2.2796736e-04
   4.0872731e-02   2.2784593e-04
   4.0948702e-02   2.2772597e-04
   4.1024674e-02   2.2760746e-04
   4.1100645e-02   2.2749039e-04
   4.1176617e-02   2.2737476e-04
   4.1252589e-02   2.2726054e-04
   4.1328560e-02   2.2714773e-04
   4.1404532e-02   2.2703632e-04
   4.1480503e-02   2.2692630e-04
   4.1556475e-02   2.2681766e-04
   4.1632447e-02   2.2671040e-04
   4.1708418e-02   2.2660451e-04
   4.1784390e-02   2.2649998e-04
   4.1860362e-02   2.2639681e-04
   4.1936333e-02   2.2629499e-04
   4.2012305e-02   2.2619453e-04
   4.2088276e-02   2.2609541e-04
   4.2164248e-02   2.2599765e-04
   4.2240220e-02   2.2590124e-04
   4.2316191e-02   2.2580618e-04
   4.2392163e-02   2.2571248e-04
   4.2468134e-02   2.2562014e-04
   4.2544106e-02   2.2552917e-04
   4.2620078e-02   2.2543958e-04
   4.2696049e-02   2.2535138e-04
   4.2772021e-02   2.2526458e-04
   4.2847993e-02   2.2517920e-04
   4.2923964e-02   2.2509526e-04
   4.2999936e-02   2.2501277e-04
   4.3075907e-02   2.2493177e-04
   4.3151879e-02   2.2485228e-04
   4.3227851e-02   2.2477434e-04
   4.3303822e-02   2.2469797e-04
   4.3379794e-02   2.2462323e-04
   4.3455766e-02   2.2455017e-04
   4.3531737e-02   2.2447884e-04
   4.3607709e-02   2.2440930e-04
   4.3683680e-02   2.2434163e-04
   4.3759652e-02   2.2427591e-04
   4.3835624e-02   2.2421223e-04
   4.3911595e-02   2.2415071e-04
   4.3987567e-02   2.2409148e-04
   4.4063538e-02   2.2403467e-04
   4.4139510e-02   2.2398046e-04
   4.4215482e-02   2.2392903e-04
   4.4291453e-02   2.2388063e-04
   4.4367425e-02   2.2383551e-04
   4.4443397e-02   2.2379399e-04
   4.4519368e-02   2.2375645e-04
   4.4595340e-02   2.2372331e-04
   4.4671311e-02   2.2369513e-04
   4.4747283e-02   2.2367254e-04
   4.4823255e-02   2.2365633e-04
   4.4899226e-02   2.2364747e-04
   4.4975198e-02   2.2364717e-04
   4.5051170e-02   2.2365696e-04
   4.5127141e-02   2.2367877e-04
   4.5203113e-02   2.2371516e-04
   4.5279084e-02   2.2376946e-04
